סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
1364 ,שלומית ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,514 ,119 ,230 ,158 ,6 ,1 ,0
1365 ,אליאב ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,867 ,118 ,377 ,255 ,107 ,7 ,3
1366 ,נווה ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,1108 ,212 ,458 ,344 ,63 ,19 ,12
1367 ,כחלה ,62 ,באר שבע ,62 ,באר שבע ,69 ,אל קסום ,466 ,52 ,151 ,188 ,25 ,20 ,30
1368 ,בני דקלים ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,1870 ,238 ,847 ,594 ,95 ,53 ,43
1369 ,נטע ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,973 ,156 ,409 ,338 ,54 ,16 ,0
1370 ,מצפה אילן ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,835 ,88 ,373 ,270 ,101 ,2 ,1
1371 ,גני טל ,44 ,רחובות ,44 ,רחובות ,31 ,נחל שורק ,1001 ,131 ,386 ,309 ,75 ,7 ,93
1372 ,נצר חזני ,44 ,רחובות ,44 ,רחובות ,31 ,נחל שורק ,572 ,83 ,190 ,197 ,37 ,23 ,42
1373 ,שלווה במדבר ,62 ,באר שבע ,62 ,באר שבע ,48 ,רמת נגב ,15 ,3 ,2 ,7 ,2 ,1 ,0
1374 ,כרמי קטיף ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,813 ,132 ,320 ,272 ,56 ,28 ,5
1375 ,אבו תלול ,62 ,באר שבע ,62 ,באר שבע ,68 ,נווה מדבר ,2908 ,572 ,960 ,1068 ,181 ,69 ,58
1376 ,באר גנים ,62 ,באר שבע ,61 ,אשקלון ,36 ,חוף אשקלון ,2352 ,299 ,766 ,812 ,166 ,117 ,192
1377 ,שבי דרום ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,604 ,132 ,263 ,175 ,15 ,17 ,2
1378 ,שיזף ,62 ,באר שבע ,62 ,באר שבע ,48 ,רמת נגב ,142 ,34 ,52 ,54 ,0 ,0 ,2
1411 ,מחנה הילה ,44 ,רחובות ,46 ,ראשון לציון ,27 ,גן רווה ,281 ,75 ,72 ,133 ,1 ,0 ,0
1412 ,מחנה תל נוף ,44 ,רחובות ,44 ,רחובות ,28 ,ברנר ,357 ,105 ,78 ,170 ,4 ,0 ,0
1413 ,מחנה יהודית ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,254 ,65 ,68 ,118 ,3 ,0 ,0
1414 ,מחנה מרים ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,192 ,50 ,55 ,85 ,2 ,0 ,0
1415 ,מחנה יפה ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,387 ,76 ,103 ,202 ,6 ,0 ,0
1416 ,מחנה יוכבד ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,205 ,38 ,59 ,106 ,2 ,0 ,0
1418 ,מחנה טלי ,62 ,באר שבע ,62 ,באר שבע ,48 ,רמת נגב ,270 ,71 ,61 ,134 ,4 ,0 ,0
