iter	Passed	Remaining
1398	119486	8626
1399	119530	8537
1400	119568	8449
1401	119619	8361
1402	119697	8275
1403	119768	8189
1404	119832	8102
1405	119878	8014
1406	119926	7926
1407	120028	7842
1408	120084	7755
1409	120226	7674
1410	120301	7588
1411	120365	7501
1412	120407	7413
1413	120480	7327
1414	120525	7240
1415	120573	7152
1416	120610	7064
1417	120645	6976
1418	120681	6888
1419	120722	6801
1420	120778	6714
1421	120819	6627
1422	120867	6540
1423	120946	6454
1424	121005	6368
1425	121058	6282
1426	121107	6195
1427	121159	6108
1428	121196	6021
1429	121229	5934
1430	121269	5847
1431	121321	5761
1432	121370	5674
1433	121428	5588
1434	121546	5505
1435	121649	5421
1436	121716	5336
1437	121778	5250
1438	121821	5164
1439	121884	5078
1440	121937	4992
1441	121981	4906
1442	122010	4819
1443	122045	4733
1444	122084	4646
1445	122126	4560
1446	122161	4474
1447	122195	4388
1448	122239	4302
1449	122253	4215
1450	122294	4129
1451	122333	4044
1452	122372	3958
1453	122406	3872
1454	122440	3786
1455	122475	3701
1456	122529	3616
1457	122582	3531
1458	122630	3446
1459	122676	3361
1460	122721	3275
1461	122758	3190
1462	122799	3105
1463	122836	3020
1464	122870	2935
1465	122910	2850
1466	122948	2765
1467	122986	2680
1468	123022	2596
1469	123059	2511
1470	123096	2426
1471	123129	2342
1472	123165	2257
1473	123206	2173
1474	123241	2088
1475	123282	2004
1476	123324	1920
1477	123362	1836
1478	123388	1751
1479	123437	1668
1480	123479	1584
1481	123517	1500
1482	123550	1416
1483	123584	1332
1484	123620	1248
1485	123664	1165
1486	123709	1081
1487	123753	998
1488	123795	914
1489	123848	831
1490	123888	747
1491	123921	664
1492	123956	581
1493	123988	497
1494	124022	414
1495	124054	331
1496	124090	248
1497	124127	165
1498	124180	82
1499	124222	0
